file,line,type,commit,author,date,time,timezone,datetime,depth,length
static/style.css,61,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,0
static/style.css,62,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,0
static/style.css,63,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,17
static/style.css,64,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,16
static/style.css,65,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,18
static/style.css,66,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,25
static/style.css,67,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,22
static/style.css,68,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,26
static/style.css,69,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,11
static/style.css,70,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,0
static/style.css,71,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,0
static/style.css,72,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,17
static/style.css,73,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,9
static/style.css,74,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,17
static/style.css,75,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,16
static/style.css,76,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,11
static/style.css,77,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,0
static/style.css,78,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,0
static/style.css,79,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,14
static/style.css,80,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,7
static/style.css,81,css,1887c89f,Anusri Saraf,2026-03-03,20:47:48,-05:00,2026-03-03T20:47:48-05:00,0,50
static/style.css,82,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,13
static/style.css,83,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,0
static/style.css,84,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,0
static/style.css,85,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,17
static/style.css,86,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,13
static/style.css,87,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,0
static/style.css,88,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,0
static/style.css,89,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,9
static/style.css,90,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,13
static/style.css,91,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,22
static/style.css,92,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,12
static/style.css,93,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,0
static/style.css,94,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,0
static/style.css,95,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,13
static/style.css,96,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,15
static/style.css,97,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,19
static/style.css,98,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,0
static/style.css,99,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,0
static/style.css,100,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,15
static/style.css,101,css,3e84b346,Anusri Saraf,2026-02-26,11:59:25,-05:00,2026-02-26T11:59:25-05:00,0,16
